"Country","Year","Community_service","Detention_short_or_long_term","Fines","Ignition_interlocks_alcolocks_","License_suspended_revoked","Mandatory_treatment","Penalty_points","Vehicle_impounded"
"Lao Peoples Democratic Republic","2012","No","Yes","Yes","No","No","No","No","No"
"Latvia","2012","No","Yes","Yes","No","Yes","No","No","No"
"Lebanon","2012","","","","","","","",""
"Lesotho","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Liberia","2012","No","Yes","Yes","No","No","No","No","No"
"Libya","2012","","","","","","","",""
"Lithuania","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Luxembourg","2012","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Madagascar","2012","No","Yes","Yes","No","Yes","Yes","No","Yes"
"Malawi","2012","Yes","Yes","Yes","No","No","No","No","Yes"
"Malaysia","2012","No","Yes","Yes","No","Yes","No","No","No"
"Maldives","2012","","","","","","","",""
"Mali","2012","No","No","No","No","No","No","No","No"
"Malta","2012","No","Yes","Yes","No","Yes","No","No","No"
"Marshall Islands","2012","","","","","","","",""
"Mauritania","2012","No","Yes","Yes","No","Yes","No","No","No"
"Mauritius","2012","No","Yes","Yes","No","Yes","No","No","No"
"Mexico","2012","No","Yes","Yes","No","No","No","Yes","No"
"Micronesia (Federated States of)","2012","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Monaco","2012","No","Yes","Yes","No","Yes","Yes","No","Yes"
"Mongolia","2012","No","No","No","No","Yes","No","No","No"
"Montenegro","2012","No","No","Yes","No","Yes","No","Yes","Yes"
"Morocco","2012","","","","","","","",""
"Mozambique","2012","No","No","Yes","No","Yes","No","Yes","Yes"
"Myanmar","2012","No","Yes","Yes","No","Yes","No","No","No"
"Namibia","2012","No","Yes","Yes","No","Yes","No","Yes","No"
"Nauru","2012","","","","","","","",""
"Nepal","2012","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"Netherlands","2012","No","No","Yes","Yes","Yes","Yes","Yes","No"
"New Zealand","2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Nicaragua","2012","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Niger","2012","No","Yes","Yes","No","No","No","No","No"
"Nigeria","2012","No","Yes","Yes","No","No","No","No","Yes"
"Niue","2012","Yes","Yes","Yes","No","Yes","No","No","No"
"Norway","2012","No","Yes","Yes","No","Yes","No","No","No"
"Oman","2012","No","Yes","No","No","Yes","No","No","No"
"Pakistan","2012","No","Yes","Yes","No","No","No","No","No"
"Palau","2012","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Panama","2012","No","No","Yes","No","Yes","No","Yes","Yes"
"Papua New Guinea","2012","No","No","Yes","No","No","No","No","No"
"Paraguay","2012","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Peru","2012","No","Yes","Yes","No","Yes","Yes","Yes","No"
"Philippines","2012","No","No","Yes","No","Yes","No","No","No"
"Poland","2012","Yes","Yes","Yes","No","Yes","No","Yes","No"
"Portugal","2012","Yes","Yes","Yes","No","Yes","Yes","No","No"
"Qatar","2012","","","","","","","",""
"Republic of Korea","2012","Yes","No","Yes","No","Yes","Yes","Yes","No"
"Republic of Moldova","2012","No","Yes","Yes","No","Yes","Yes","No","No"
"Romania","2012","No","Yes","Yes","No","Yes","No","Yes","No"
"Russian Federation","2012","No","No","No","No","Yes","No","No","No"
"Rwanda","2012","No","No","Yes","No","No","No","No","No"
"Saint Kitts and Nevis","2012","Yes","Yes","Yes","No","Yes","No","No","No"
"Saint Lucia","2012","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Saint Vincent and the Grenadines","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Samoa","2012","","","","","","","",""
"San Marino","2012","No","No","Yes","No","Yes","No","No","No"
"Sao Tome and Principe","2012","No","No","Yes","No","Yes","No","No","Yes"
"Saudi Arabia","2012","No","No","No","No","No","No","No","No"
"Senegal","2012","No","Yes","Yes","No","Yes","No","No","No"
"Serbia","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Seychelles","2012","No","No","Yes","No","Yes","No","No","No"
"Sierra Leone","2012","No","No","No","No","No","No","No","No"
"Singapore","2012","No","Yes","Yes","No","Yes","No","No","No"
"Slovakia","2012","No","Yes","Yes","No","Yes","Yes","No","No"
"Slovenia","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Solomon Islands","2012","","","","","","","",""
"Somalia","2012","","","","","","","",""
"South Africa","2012","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Spain","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Sri Lanka","2012","No","Yes","Yes","No","No","No","No","No"
"Sudan","2012","No","No","Yes","No","Yes","No","Yes","Yes"
"Suriname","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Swaziland","2012","No","Yes","Yes","No","No","No","No","No"
"Sweden","2012","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Switzerland","2012","No","Yes","Yes","No","Yes","No","No","No"
"Syrian Arab Republic","2012","No","Yes","No","No","Yes","No","No","No"
"Tajikistan","2012","No","No","Yes","No","Yes","No","No","No"
"Thailand","2012","Yes","Yes","Yes","No","No","No","No","No"
"The former Yugoslav republic of Macedonia","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Timor-Leste","2012","No","No","Yes","No","Yes","No","Yes","Yes"
"Togo","2012","No","No","No","No","No","No","No","No"
"Tonga","2012","Yes","Yes","Yes","No","Yes","No","No","No"
"Trinidad and Tobago","2012","No","Yes","Yes","No","Yes","No","No","No"
"Tunisia","2012","No","Yes","No","No","Yes","No","No","No"
